Customer_ID,Customer_Name,Email,Phone,Gender,City,State,Registration_Date
CUST00001,Aryan Maharaj,udantdewan@example.net,6721175500,Male,Jaipur,Rajasthan,2024-02-02
CUST00002,Pahal Balay,chandertejas@example.org,7774428714,Female,Kolkata,West Bengal,2025-10-20
CUST00003,Rushil Saini,saumyamall@example.org,8133320419,Male,Thiruvananthapuram,Kerala,2024-05-01
CUST00004,Harini Mall,tanveernayar@example.org,8570220212,Female,Durgapur,West Bengal,2024-01-18
CUST00005,Gunbir Parmer,aishani07@example.net,8229661713,Male,Kozhikode,Kerala,2024-03-07
CUST00006,Farhan Memon,rehaan10@example.net,6203229836,Female,Udaipur,Rajasthan,2024-08-15
CUST00007,Fariq Kaul,raiarunima@example.com,7225258329,Female,Kota,Rajasthan,2026-05-10
CUST00008,Nicholas Prabhakar,shaurya41@example.net,6116535425,Male,Bengaluru,Karnataka,2026-05-09
CUST00009,Yash Gade,rraghavan@example.net,8732107797,Male,Jaipur,Rajasthan,2026-07-31
CUST00010,Ekta Bhalla,azadmutti@example.com,8851319995,Female,Jabalpur,Madhya Pradesh,2024-10-15
CUST00011,Siddharth Murty,xalakrandhawa@example.net,8883089040,Male,Chennai,Tamil Nadu,2025-08-08
CUST00012,Alka Dewan,adyasangha@example.net,7284257239,Female,Thrissur,Kerala,2025-05-08
CUST00013,Theodore Devi,wchand@example.org,6200550700,Male,Rajkot,Gujarat,2024-02-13
CUST00014,Nathaniel Sami,rajanlakshmi@example.net,6524578524,Female,Bhopal,Madhya Pradesh,2025-08-23
CUST00015,Advay Contractor,harini14@example.com,6634806607,Male,Mumbai,Maharashtra,2024-04-28
CUST00016,Aarush Lall,yashicacherian@example.net,7511480880,Male,Pune,Maharashtra,2024-12-02
CUST00017,Michael Prakash,aadinaik@example.com,7448910397,Female,Mysuru,Karnataka,2023-09-26
CUST00018,Janani Mohanty,dalbirkhosla@example.net,7120703049,Male,New Delhi,Delhi,2023-12-27
CUST00019,Vedika Biswas,kabirsoman@example.net,6800849550,Male,Trichy,Tamil Nadu,2024-05-09
CUST00020,Pallavi Kakar,devikarastogi@example.net,8272362370,Female,New Delhi,Delhi,2026-06-01
CUST00021,Raksha Varughese,pdara@example.org,6022988318,Female,Varanasi,Uttar Pradesh,2023-12-04
CUST00022,Ansh Karpe,abhimanyubobal@example.net,6659182871,Female,Varanasi,Uttar Pradesh,2026-05-03
CUST00023,Veer Bir,narayananekavir@example.net,8262498042,Male,Kanpur,Uttar Pradesh,2024-08-30
CUST00024,Vedika Kala,urvashikibe@example.com,8147519610,Female,Vijayawada,Andhra Pradesh,2025-05-20
CUST00025,Girindra Chatterjee,bpandya@example.com,7403990366,Female,Varanasi,Uttar Pradesh,2025-08-21
CUST00026,Guneet Bhat,znori@example.org,9979217141,Female,Panipat,Haryana,2024-09-16
CUST00027,Ranveer Yadav,bdey@example.org,7271882843,Male,Faridabad,Haryana,2024-11-01
CUST00028,Zaid Borra,dchaudhari@example.net,7320735683,Male,Mumbai,Maharashtra,2025-12-13
CUST00029,Girik Khalsa,niharikasunder@example.com,7590537491,Male,Mangaluru,Karnataka,2024-07-24
CUST00030,Daniel Gala,yagate@example.com,9095776306,Female,Hyderabad,Telangana,2025-08-02
CUST00031,Pallavi Sur,ranveerminhas@example.org,6733442149,Male,Noida,Uttar Pradesh,2023-11-25
CUST00032,Dipta Bhandari,soodyadavi@example.net,8483276346,Female,Varanasi,Uttar Pradesh,2024-04-27
CUST00033,Yashoda Buch,ekapadbir@example.net,7626609238,Male,Panipat,Haryana,2024-08-26
CUST00034,Jagdish Koshy,bumboni@example.net,7967485733,Male,Chennai,Tamil Nadu,2026-02-18
CUST00035,Advika Jayaraman,william46@example.org,6728645911,Female,Jaipur,Rajasthan,2026-07-05
CUST00036,Tanvi Mutti,andratara@example.net,9675858742,Male,Udaipur,Rajasthan,2026-01-17
CUST00037,Ethan Yogi,yashawinilanka@example.org,8756202235,Male,Jabalpur,Madhya Pradesh,2025-02-19
CUST00038,Yash Pingle,nakul78@example.net,9670454249,Male,Thiruvananthapuram,Kerala,2024-12-08
CUST00039,Chandani Chawla,aishanidalia@example.org,9492388577,Male,Jabalpur,Madhya Pradesh,2026-01-02
CUST00040,Anita Manda,hemaljani@example.net,8403641416,Male,Surat,Gujarat,2026-05-08
CUST00041,Yashasvi Suresh,charan16@example.com,6614032373,Female,New Delhi,Delhi,2023-11-03
CUST00042,Gauri De,neel78@example.net,9059367679,Male,Hyderabad,Telangana,2025-06-21
CUST00043,Isaac Borra,balendrapingle@example.net,7241942369,Male,Indore,Madhya Pradesh,2026-01-01
CUST00044,Qushi Datta,morarjanya@example.org,8103693706,Male,Gurugram,Haryana,2025-03-04
CUST00045,Zaid Chauhan,niharika92@example.org,6750560604,Female,Mangaluru,Karnataka,2024-05-05
CUST00046,Nitara Bakshi,gaurangisabharwal@example.net,8687479285,Female,Hubballi,Karnataka,2024-09-15
CUST00047,Nathaniel Chokshi,ebarad@example.org,8329247563,Female,Rajkot,Gujarat,2024-07-02
CUST00048,Inaya Mody,udantbajwa@example.net,7432258551,Male,Bhopal,Madhya Pradesh,2024-06-22
CUST00049,Falguni Mallick,mallickindali@example.net,9524740242,Female,Amritsar,Punjab,2025-10-26
CUST00050,Garima Bala,lalpranav@example.net,9953432737,Male,Vadodara,Gujarat,2024-10-12
CUST00051,Ikbal Saraf,dipta69@example.net,9257598233,Male,Pune,Maharashtra,2024-02-22
CUST00052,Ranveer Kumar,sarinaarav@example.net,6561848544,Male,Hyderabad,Telangana,2025-12-10
CUST00053,Januja Sankar,narayanandipta@example.net,9104561890,Male,Madurai,Tamil Nadu,2024-03-07
CUST00054,Yashica More,znarain@example.net,9672544893,Male,Belagavi,Karnataka,2024-11-28
CUST00055,Rehaan Salvi,nghosh@example.net,7620251464,Male,Lucknow,Uttar Pradesh,2024-12-06
CUST00056,Aadi Modi,shivansh69@example.net,8746976694,Male,Nagpur,Maharashtra,2026-06-09
CUST00057,Udyati Sathe,gkala@example.com,8801375216,Female,Jodhpur,Rajasthan,2024-05-16
CUST00058,Bhanumati Varma,girik34@example.org,9004320985,Male,Nizamabad,Telangana,2024-07-01
CUST00059,Aryan Batra,vaishnavibora@example.com,8571542948,Male,Panipat,Haryana,2025-05-31
CUST00060,Leena Talwar,jkohli@example.net,9368362985,Female,Vadodara,Gujarat,2026-07-30
CUST00061,Hredhaan Sandal,patrickvasa@example.com,8394596541,Female,Mangaluru,Karnataka,2023-11-13
CUST00062,Jairaj Shan,ucchalwali@example.net,9725946196,Male,Agra,Uttar Pradesh,2026-03-09
CUST00063,Saanvi Thaman,ksehgal@example.net,8550994184,Female,Ludhiana,Punjab,2025-09-02
CUST00064,Aashi Kota,vedhika34@example.com,9892539588,Female,Durgapur,West Bengal,2023-12-25
CUST00065,Wahab Magar,ekaja81@example.org,8958225941,Female,Faridabad,Haryana,2024-04-17
CUST00066,Leela Dua,devanshsachdeva@example.com,9431652707,Female,Guntur,Andhra Pradesh,2025-01-22
CUST00067,Ojasvi Bhatia,osharamachandran@example.net,9919318090,Male,New Delhi,Delhi,2026-08-11
